19:09:22 -> INFO: Archivo de carga de escena de lua correctamente inicializado
19:09:22 -> WARN: trying to move a static rigidBody will result in nothig
19:09:22 -> WARN: trying to move a static rigidBody will result in nothig
19:09:22 -> WARN: trying to move a static rigidBody will result in nothig
19:09:22 -> WARN: trying to move a static rigidBody will result in nothig
19:09:22 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
19:09:23 -> WARN: trying to move a static rigidBody will result in nothig
